
00-00001914;Станция Топас 30 П 1400;шт.;1;369000;369000;Топас;;30;;П;1400;Топас;258300;37000;13000;18000;;2,2;2,2;3,1;8;8,2;7,304;14,696;;;;;22,308;29,7;800;
00-00001915;Станция Топас 40 П 800;шт.;1;447400;447400;Топас;;40;;П;800;Топас;313180;42000;14500;19500;;2,3;2,2;3,1;8;11,6;7,48;15,004;;;;;23,166;30,69;500;
00-00001916;Станция Топас-С 4 С 800                                        со скидкой;шт.;1;80200;72180;Топас-С;;4;;С;800;Топас;56140;15000;7500;12500;;0,95;0,95;2,5;4;1,5;2,6645;6,0125;;;;;4,92075;8,26875;500;
00-00001917;Станция Топас-С 4 П 800                                        со скидкой;шт.;1;90000;81000;Топас-С;;4;;П;800;Топас;63000;15000;7500;12500;;0,95;0,95;2,5;4;1,5;2,6645;6,0125;;;;;4,92075;8,26875;500;
00-00001918;Станция Топас-С 5 С 800                                        со скидкой;шт.;1;89700;80730;Топас-С;;5;;С;800;Топас;62790;16000;7500;12500;;1,1;1,2;2,5;4;2,2;3,18;6,96;;;;;6,48;10,26;500;
00-00001919;Станция Топас-С 5 П 800                                        со скидкой;шт.;1;102000;91800;Топас-С;;5;;П;800;Топас;71400;16000;7500;12500;;1;1,2;2,6;4;2,2;3,152;6,96;;;;;6,272;10,08;500;
00-00001920;Станция Топас-С 5 С 1400                                        со скидкой;шт.;1;113900;102510;Топас-С;;5;;С;1400;Топас;79730;19000;7500;12500;;1,1;1,2;3,1;4;2,2;3,828;8,448;;;;;7,92;12,54;800;
00-00001921;Станция Топас-С 5 П 1400                                        со скидкой;шт.;1;127900;115110;Топас-С;;5;;П;1400;Топас;89530;19000;7500;12500;;1,1;1,2;3,1;4;2,2;3,828;8,448;;;;;7,92;12,54;800;
00-00001922;Станция Топас-С 6 С 800                                        со скидкой;шт.;1;96600;86940;Топас-С;;6;;С;800;Топас;67620;16000;7500;12500;;1,2;1,2;2,55;4;2,5;3,368;7,328;;;;;7,04;11;500;
00-00001923;Станция Топас-С 6 П 800                                        со скидкой;шт.;1;107200;96480;Топас-С;;6;;П;800;Топас;75040;16000;7500;12500;;1,1;1,2;2,6;4;2,4;3,288;7,208;;;;;6,72;10,64;500;
