																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00001929	Станция Топас-С 8 П 1400                                        со скидкой	шт.	1	146 900	132 210	Топас-С		8		П	1 400	Топас	102 830	21 000	8 500	13 500		1,60	1,50	3,10	6	4,1	5,10	10,78					12,54	18,22	800	
00-00001930	Станция Топас-С 8 С 1400 Ус                                       со скидкой	шт.	1	147 500	132 750	Топас-С		8		С	1 400	Топас	103 250	21 000	8 500	13 500							0,03	0,13					0,03	0,13	800	
00-00001931	Станция Топас-С 8 П 1400 Ус                                       со скидкой	шт.	1	161 300	145 170	Топас-С		8		П	1 400	Топас	112 910	21 000	8 500	13 500							0,03	0,13					0,03	0,13	800	
00-00001932	Станция Топас-С 9 С 800                                        со скидкой	шт.	1	121 700	109 530	Топас-С		9		С	800	Топас	85 190	19 500	9 500	14 500		1,60	1,20	2,55	5	3,4	3,90	8,30					8,80	13,20	500	
00-00001933	Станция Топас-С 9 П 800                                        со скидкой	шт.	1	131 900	118 710	Топас-С		9		П	800	Топас	92 330	19 500	9 500	14 500		1,60	1,20	2,60	5	3,5	3,97	8,45					8,96	13,44	500	
00-00001934	Станция Топас-С 9 С 1400                                        со скидкой	шт.	1	138 500	124 650	Топас-С		9		С	1 400	Топас	96 950	22 500	9 500	14 500		1,60	1,20	3,10	5	3,3	4,61	9,89					10,56	15,84	800	
00-00001935	Станция Топас-С 9 П 1400                                        со скидкой	шт.	1	151 000	135 900	Топас-С		9		П	1 400	Топас	105 700	22 500	9 500	14 500		1,50	1,20	3,10	5	3,1	4,45	9,60					10,03	15,18	800	
00-00001936	Станция Топас-С 9 С 1400 Ус                                       со скидкой	шт.	1	159 500	143 550	Топас-С		9		С	1 400	Топас	111 650	22 500	9 500	14 500		1,80	1,40	3,10	6	4,3	5,26	11,06					13,07	18,88	800	
00-00001937	Станция Топас-С 9 П 1400 Ус                                       со скидкой	шт.	1	170 900	153 810	Топас-С		9		П	1 400	Топас	119 630	22 500	9 500	14 500		1,70	1,35	3,10	6	3,9	5,01	10,62					12,13	17,74	800	
00-00001938	Станция Топас-С 10 С 800                                        со скидкой	шт.	1	151 600	136 440	Топас-С		10		С	800	Топас	106 120	21 000	9 500	14 500		2,10	1,20	2,50	6	4,3	4,50	9,36					10,80	15,66	500	
00-00001939	Станция Топас-С 10 П 800                                        со скидкой	шт.	1	163 700	147 330	Топас-С		10		П	800	Топас	114 590	21 000	9 500	14 500		2,10	1,20	2,60	6	4,5	4,65	9,69					11,20	16,24	500	
